date,symbol,asset_name,asset_class,close
2024-11-27,510300.SS,沪深300ETF,csi_300,3.776
2024-11-28,510300.SS,沪深300ETF,csi_300,3.747
2024-11-29,510300.SS,沪深300ETF,csi_300,3.79
2024-12-02,510300.SS,沪深300ETF,csi_300,3.82
2024-12-03,510300.SS,沪深300ETF,csi_300,3.824
2024-12-04,510300.SS,沪深300ETF,csi_300,3.803
2024-12-05,510300.SS,沪深300ETF,csi_300,3.796
2024-12-06,510300.SS,沪深300ETF,csi_300,3.846
2024-12-09,510300.SS,沪深300ETF,csi_300,3.843
2024-12-10,510300.SS,沪深300ETF,csi_300,3.874
2024-12-11,510300.SS,沪深300ETF,csi_300,3.864
2024-12-12,510300.SS,沪深300ETF,csi_300,3.906
2024-12-13,510300.SS,沪深300ETF,csi_300,3.809
2024-12-16,510300.SS,沪深300ETF,csi_300,3.785
2024-12-17,510300.SS,沪深300ETF,csi_300,3.796
2024-12-18,510300.SS,沪深300ETF,csi_300,3.813
2024-12-19,510300.SS,沪深300ETF,csi_300,3.819
2024-12-20,510300.SS,沪深300ETF,csi_300,3.807
2024-12-23,510300.SS,沪深300ETF,csi_300,3.811
2024-12-24,510300.SS,沪深300ETF,csi_300,3.858
2024-12-25,510300.SS,沪深300ETF,csi_300,3.861
2024-12-26,510300.SS,沪深300ETF,csi_300,3.862
2024-12-27,510300.SS,沪深300ETF,csi_300,3.856
2024-12-30,510300.SS,沪深300ETF,csi_300,3.875
2024-12-31,510300.SS,沪深300ETF,csi_300,3.811
2025-01-02,510300.SS,沪深300ETF,csi_300,3.698
2025-01-03,510300.SS,沪深300ETF,csi_300,3.658
2025-01-06,510300.SS,沪深300ETF,csi_300,3.642
2025-01-07,510300.SS,沪深300ETF,csi_300,3.669
2025-01-08,510300.SS,沪深300ETF,csi_300,3.663
2025-01-09,510300.SS,沪深300ETF,csi_300,3.655
2025-01-10,510300.SS,沪深300ETF,csi_300,3.612
2025-01-13,510300.SS,沪深300ETF,csi_300,3.597
2025-01-14,510300.SS,沪深300ETF,csi_300,3.695
2025-01-15,510300.SS,沪深300ETF,csi_300,3.672
2025-01-16,510300.SS,沪深300ETF,csi_300,3.674
2025-01-17,510300.SS,沪深300ETF,csi_300,3.687
2025-01-20,510300.SS,沪深300ETF,csi_300,3.706
2025-01-21,510300.SS,沪深300ETF,csi_300,3.711
2025-01-22,510300.SS,沪深300ETF,csi_300,3.675
2025-01-23,510300.SS,沪深300ETF,csi_300,3.686
2025-01-24,510300.SS,沪深300ETF,csi_300,3.718
2025-01-27,510300.SS,沪深300ETF,csi_300,3.696
2025-02-05,510300.SS,沪深300ETF,csi_300,3.676
2025-02-06,510300.SS,沪深300ETF,csi_300,3.721
2025-02-07,510300.SS,沪深300ETF,csi_300,3.777
2025-02-10,510300.SS,沪深300ETF,csi_300,3.781
2025-02-11,510300.SS,沪深300ETF,csi_300,3.765
2025-02-12,510300.SS,沪深300ETF,csi_300,3.803
2025-02-13,510300.SS,沪深300ETF,csi_300,3.793
2025-02-14,510300.SS,沪深300ETF,csi_300,3.823
2025-02-17,510300.SS,沪深300ETF,csi_300,3.83
2025-02-18,510300.SS,沪深300ETF,csi_300,3.801
2025-02-19,510300.SS,沪深300ETF,csi_300,3.822
2025-02-20,510300.SS,沪深300ETF,csi_300,3.81
2025-02-21,510300.SS,沪深300ETF,csi_300,3.864
2025-02-24,510300.SS,沪深300ETF,csi_300,3.851
2025-02-25,510300.SS,沪深300ETF,csi_300,3.81
2025-02-26,510300.SS,沪深300ETF,csi_300,3.843
2025-02-27,510300.SS,沪深300ETF,csi_300,3.856
2025-02-28,510300.SS,沪深300ETF,csi_300,3.783
